Paper,Authors,Year of publication,Year of announcement,Venue,Awarded By
Querying Heterogeneous Information Sources using Source Descriptions,"Alon Y. Levy, Anand Rajaraman, and Joann J. Ordille",1996,2006,VLDB,VLDB
W3QS: A Query System for the World-Wide Web,David Konopnicki and Oded Shmueli,1995,2005,VLDB,VLDB
Fast Algorithms for Mining Association Rules in Large Databases,Rakesh Agrawal and Ramakrishnan Srikant,1994,2004,VLDB,VLDB
Universality of Serial Histograms,Yannis E. Ioannidis,1993,2003,VLDB,VLDB
Querying in Highly Mobile Distributed Environments,T. Imielinski and B. R. Badrinath,1992,2002,VLDB,VLDB
Performance Evaluation of an Adaptive and Robust Load Control Method for the Avoidance of Data-Contention,Axel Moenkeberg and Gerhard Weikum,1992,2002,VLDB,VLDB
A Transactional Model for Long-Running Activities,"Umeshwar Dayal, Meichun Hsu, and Rivka Ladin",1991,2001,VLDB,VLDB
Deriving Production Rules for Constraint Maintainance,Sterfano Ceri and Jennifer Widom,1990,2000,VLDB,VLDB
ARIES/NT: A Recovery Method Based on Write-Ahead Logging for Nested Transactions,Kurt Rothermel and C. Mohan,1989,1999,VLDB,VLDB
Disk Shadowing,Dina Bitton and Jim Gray,1988,1998,VLDB,VLDB
The R+-Tree: A Dynamic Index for Multi-Dimensional Objects,"Timos Sellis, Nick Roussopoulos, and Christos Faloutsos",1987,1997,VLDB,VLDB
Object and File Management in the EXODUS Extensible Database System,"Michael J. Carey, David J. DeWitt, Joel E. Richardson, and Eugene J. Shekita",1986,1996,VLDB,VLDB
A Model of CAD Transactions,"François Bancilhon, Won Kim, and Henry F. Korth",1985,1995,VLDB,VLDB
Feedback-Directed Random Test Generation,"Carlos Pacheco, Shuvendu K. Lahiri, Michael D. Ernst, and Thomas Ball",2007,2017,ICSE,ICSE
Who Should Fix This Bug,"John Anvik, Lyndon Hiew, and Gail C. Murphy",2006,2016,ICSE,ICSE
Is Mutation an Appropriate Tool for Testing Experiments?,"James H. Andrews, Lionel C. Briand, and Yvan Labiche",2005,2015,ICSE,ICSE
Mining Version Histories to Guide Software Changes,"Thomas Zimmerman, Peter Weisgerber, Stephan Diehl and Andreas Zeller",2004,2014,ICSE,ICSE
Hipikat: Recommending Pertinent Software Development Artifacts,Davor Čubranić and Gail C. Murphy,2003,2013,ICSE,ICSE
ArchJava: Connecting Software Architecture to Implementation,"Jonathan Aldrich, Craig Chambers, David Notkin",2002,2012,ICSE,ICSE
Analysis and testing of Web applications,Filippo Ricca and Paolo Tonella,2001,2011,ICSE,ICSE
A case study of open source software development: the Apache server,"Audris Mockus, Roy T. Fielding, James Herbsleb",2000,2010,ICSE,ICSE
Bandera: extracting finite-state models from Java source code,"James C. Corbett, Matthew B. Dwyer, John Hatcliff, Shawn Laubach, Corina S. Pasareanu, Robby, Hongjun Zheng",2000,2010,ICSE,ICSE
N Degrees of Separation: Multi-Dimensional Separation of Concerns,"Peri Tarr, Harold Ossher, William Harrison, and Stanley M. Sutton",1999,2009,ICSE,ICSE
Architecture-Based Runtime Software Evolution,"Peyman Oreizy, Nenad Medvidovic and Richard N. Taylor",1998,2008,ICSE,ICSE
Designing Distributed Applications with Mobile Code Paradigms,"Antonio Carzaniga, Gian Pietro Picco and Giovanni Vigna",1997,2007,ICSE,ICSE
Deriving Specifications from Requirements: An Example,"Michael Jackson, Pamela Zave",1995,2005,ICSE,ICSE
Formalizing Architectural Connection,"Robert Allen, David Garlan",1994,2004,ICSE,ICSE
Expressing the Relationships between Multiple Views in Requirements Specification,"Bashar Nuseibeh, Jeff Kramer, Anthony Finkelstein",1993,2003,ICSE,ICSE
Towards a Method of Programming with Assertions,David S. Rosenblum,1992,2002,ICSE,ICSE
Tolerating Inconsistency,Robert Balzer,1991,2001,ICSE,ICSE
The Inscape Environment,Dewayne Perry,1989,1999,ICSE,ICSE
A Working Environment for the Development of Complex Reactive Systems,"David Harel, Hagi Lachover, Amnon Naamad, Amir Pnueli, Michal Politi, Rivi Sherman, Aharon Shtul-Trauring: Statemate",1988,1998,ICSE,ICSE
"Process Models, Process Programs, Programming Support",Manny Lehman,1987,1997,ICSE,ICSE
Software Processes are Software Too,Lee Osterweil,1987,1997,ICSE,ICSE
Software Technology Maturation,"Sam Redwine Jr., William Riddle",1985,1996,ICSE,ICSE
The Modular Structure of Complex Systems,"David L. Parnas, Paul C. Clements, David M. Weiss",1984,1995,ICSE,ICSE
Capturing More World Knowledge in the Requirements Specification,"Sol Greenspan, John Mylopoulos, Alex Borgida",1982,1994,ICSE,ICSE
Program Slicing,Mark Weiser,1981,1993,ICSE,ICSE
Software Development Control Based on Module Interconnection,Walter Tichy,1979,1992,ICSE,ICSE
Designing Software for Ease of Extension and Contraction,David Parnas,1978,1991,ICSE,ICSE
An Introduction to the Construction and Verification of Alphard Programs,"William A. Wulf, Ralph L. London, Mary Shaw",1976,1990,ICSE,ICSE
The Source Code Control System,Marc J. Rochkind,1975,1989,ICSE,ICSE
Dynamically Exploiting Narrow Width Operands to Improve Processor Power and Performance,David Brooks and Margaret Martonosi,1999,2018,HPCA,HPCA
Statistically rigorous Java performance evaluation,"Andy Georges, Dries Buytaert, Lieven Eeckhout",2007,2017,OOPSLA,OOPSLA
The DaCapo benchmarks: Java benchmarking development and analysis,"Stephen M. Blackburn, Robin Garner, Chris Hoffmann, Asjad M. Khan, Kathryn S. McKinley, Rotem Bentzur, Amer Diwan, Daniel Feinberg, Daniel Frampton, Samuel Z. Guyer, Martin Hirzel, Antony Hosking, Maria Jump, Han Lee, J. Eliot B. Moss, Aashish Phansalkar, Darko Stefanović, Thomas VanDrunen, Daniel von Dincklage, Ben Wiedermann",2006,2016,OOPSLA,OOPSLA
X10: An Object-Oriented Approach to Non-Uniform Cluster Computing,"Philippe Charles, Christian Grothoff, Vijay Saraswat, Christopher Donawa, Allan Kielstra, Kemal Ebcioglu, Christoph von Praun, and Vivek Sarkar",2005,2015,OOPSLA,OOPSLA
Mirrors: Design Principles for Meta-level Facilities of Object-Oriented Programming Languages,Gilad Bracha and David Ungar,2004,2014,OOPSLA,OOPSLA
Language Support for Lightweight Transactions,Tim Harris and Keir Fraser,2003,2013,OOPSLA,OOPSLA
Reconsidering Custom Memory Allocation,"Emery Berger, Benjamin G. Zorn, and Kathryn S. McKinley",2002,2012,OOPSLA,OOPSLA
Multitasking without compromise: a virtual machine evolution,"Grzegorz Czajkowski, Laurent Daynés",2001,2011,OOPSLA,OOPSLA
Adaptive Optimization in the Jalapeño JVM,"Matthew Arnold, Stephen Fink, David Grove, Michael Hind, Peter F. Sweeney",2000,2010,OOPSLA,OOPSLA
Implementing Jalapeño in Java,"Bowen Alpern, C. R. Attanasio, Anthony Cocchi, Derek Lieber, Stephen Smith, Ton Ngo, John J. Barton, Susan Flynn Hummel, Janice C. Shepherd, and Mark Mergen",1999,2009,OOPSLA,OOPSLA
Ownership Types for Flexible Alias Protection,"David G. Clarke, John M. Potter, and James Noble",1998,2008,OOPSLA,OOPSLA
Call Graph Construction in Object-Oriented Languages,"David Grove, Greg DeFouw, Jeffrey Dean, and Craig Chambers",1997,2007,OOPSLA,OOPSLA
Subject Oriented Programming: A Critique of Pure Objects,William Harrison and Harold Ossher,1993,2007,OOPSLA,OOPSLA
Concepts and Experiments in Computational Reflection,Self: The Power of Simplicity,1987,2007,OOPSLA,OOPSLA
Self: The power of simplicity,David Ungar and Randall B. Smith,1987,2007,OOPSLA,OOPSLA
Designing for Disasters,"Kimberly Keeton, Cipriano Santos, Dirk Beyer, Jeffrey Chase, and John Wilkes",2004,2018,FAST,USENIX
Remus: High Availability via Asynchronous Virtual Machine Replication,"Brendan Cully, Geoffrey Lefebvre, Dutch Meyer, Mike Feeley, Norm Hutchinson, and Andrew Warfield",2008,2018,NSDI,USENIX
Evaluating SFI for a CISC Architecture,Stephen McCamant and Greg Morrisett,2006,2018,USENIX Security,USENIX
SnapMirror: File-System-Based Asynchronous Mirroring for Disaster Recovery,"Hugo Patterson, Stephen Manley, Mike Federwisch, Dave Hitz, Steve Kleiman, and Shane Owara",2002,2017,FAST,USENIX
X-Trace: A Pervasive Network Tracing Framework,"Rodrigo Fonseca, George Porter, Randy H. Katz, Scott Shenker, and Ion Stoica",2007,2017,NSDI,USENIX
Inferring Internet Denial-of-Service Activity,"David Moore, Geoffrey M. Voelker, and Stefan Savage",2001,2017,USENIX Security,USENIX
Row-Diagonal Parity for Double Disk Failure Correction,"Peter Corbett, Bob English, Atul Goel, Tomislav Grcanac, Steven Kleiman, James Leong, and Sunitha Sankar",2004,2016,FAST,USENIX
Pip: Detecting the Unexpected in Distributed Systems,"Patrick Reynolds, Charles Killian, Janet L. Wiener, Jeffrey C. Mogul, Mehul A. Shah, and Amin Vahdat",2006,2016,NSDI,USENIX
Preventing Privilege Escalation,"Niels Provos, Markus Friedl, and Peter Honeyman",2003,2016,USENIX Security,USENIX
Hippodrome: Running Circles Around Storage Administration,"Eric Anderson, Michael Hobbs, Kimberly Keeton, Susan Spence, Mustafa Uysal, and Alistair Veitch",2002,2015,FAST,USENIX
Live Migration of Virtual Machines,"Christopher Clark, Keir Fraser, Steven Hand, Jacob Gorm Hansen, Eric Jul, Christian Limpach, Ian Pratt, and Andrew Warfield",2005,2015,NSDI,USENIX
Design and Implementation of a Routing Control Platform,"Matthew Caesar, Donald Caldwell, Nick Feamster, Jennifer Rexford, Aman Shaikh, and Jacobus van der Merwe",2005,2015,NSDI,USENIX
Why Johnny Can’t Encrypt: A Usability Evaluation of PGP 5.0,Alma Whitten and J. D. Tygar,1999,2015,USENIX Security,USENIX
"ARC: A Self-Tuning, Low Overhead Replacement Cache",Nimrod Megiddo and Dharmendra S. Modha,2003,2014,FAST,USENIX
Operating System Support for Planetary-Scale Network Services,"Andy Bavier, Mic Bowman, Brent Chun, David Culler, Scott Karlin, Steve Muir, Larry Peterson, Timothy Roscoe, Tammo Spalink, and Mike Wawrzoniak",2004,2014,NSDI,USENIX
Trickle: A Self-Regulating Algorithm for Code Propagation and Maintenance in Wireless Sensor Networks,"Philip Levis, Neil Patel, David Culler, and Scott Shenker",2004,2014,NSDI,USENIX
Tor: The Second-Generation Onion Router,"Roger Dingledine, Nick Mathewson, and Paul Syverson",2004,2014,USENIX Security,USENIX
GPFS: A Shared-Disk File System for Large Computing Clusters,Frank Schmuck and Roger Haskin,2002,2013,FAST,USENIX
StackGuard: Automatic Adaptive Detection and Prevention of Buffer-Overflow Attacks,"Crispin Cowan, Calton Pu, Dave Maier, Jonathan Walpole, Peat Bakke, Steve Beattie, Aaron Grier, Perry Wagle, Qian Zhang, and Heather Hinton",1998,2013,USENIX Security,USENIX
Venti: A New Approach to Archival Storage,Sean Quinlan and Sean Dorward,2002,2012,FAST,USENIX
